date,value1
41431,1022.13
41432,1030.14
41438,1029.28
41439,1068.15
41442,1073.69
41443,1072.93
41444,1067.63
41445,1029.53
41446,1025.5
41449,971.454
41450,984.746
41451,1038.98
41452,1022.5
41453,1011.66
41456,1055.84
41457,1083.25
41458,1104.58
41459,1087.9
41460,1057.27
41463,1030.6
41464,1050.72
41465,1068.86
41466,1080.78
41467,1096.3
41470,1139.57
41471,1143.2
41472,1129.48
41473,1127.97
41474,1116.01
41477,1153.77
41478,1178.59
41479,1203.31
41480,1150.39
41481,1158.35
41484,1136.98
41485,1124.1
41486,1134.02
41487,1190.11
41488,1188.85
41491,1202.83
41492,1211.69
41493,1175.7
41494,1185.96
41495,1172.52
41498,1161.87
41499,1172.33
41500,1180.66
41501,1167.09
41502,1132.09
41505,1171.4
41506,1175.78
41507,1181.34
41508,1197.13
41509,1219.83
41512,1238.17
41513,1250.75
41514,1228
41515,1226.3
41516,1185.15
41519,1210.19
41520,1234.59
41521,1236.35
41522,1267.26
41523,1282.75
41526,1275.91
41527,1263.59
41528,1220.71
41529,1220.63
41530,1253.45
41533,1278.8
41534,1269.36
41535,1289.64
41540,1326.09
41541,1328.4
41542,1323.04
41543,1306.34
41544,1323.76
41547,1367.91
41555,1387.66
41556,1415.83
41557,1378.15
41558,1379.9
41561,1393.6
41562,1389.75
41563,1335.1
41564,1322.99
41565,1349.94
41568,1400.97
41569,1350.47
41570,1311.23
41571,1295.93
41572,1269.17
41575,1279.05
41576,1261.68
41577,1273.29
41578,1235.56
41579,1221.96
41582,1222.46
41583,1260.03
41584,1241.79
41585,1224.05
41586,1211.11
41589,1212.69
41590,1228.35
41591,1212.08
41592,1249.67
41593,1269.05
41596,1291.15
41597,1298.17
41598,1299.26
41599,1298.95
41600,1295.07
41603,1293.8
41604,1291.85
41605,1329.48
41606,1336.66
41607,1366.83
41610,1253.93
41611,1255.33
41612,1240.29
41613,1202.07
41614,1206.78
41617,1241.72
41618,1231.92
41619,1244.51
41620,1279.32
41621,1278.14
41624,1279.96
41625,1267.67
41626,1256
41627,1256.08
41628,1253.71
41631,1242.81
41632,1258.82
41633,1288.34
41634,1269.54
41635,1294.3
41638,1307.99
41639,1304.44
41641,1333
41642,1352.84
41645,1323.33
41646,1352.28
41647,1405.02
41648,1380.24
41649,1353.3
41652,1362.79
41653,1400.92
41654,1415.32
41655,1395.16
41656,1395.51
41659,1372.74
41660,1407.15
41661,1431.74
41662,1461.53
41663,1484.43
41666,1477.67
41667,1471.34
41668,1496.53
41669,1495.98
41677,1532.69
41680,1553.42
41681,1527.15
41682,1539.97
41683,1485.13
41684,1515.78
41687,1558.62
41688,1545.34
41689,1544.4
41690,1515.16
41691,1519.67
41694,1540.03
41695,1472.69
41696,1465.99
41697,1414.66
41698,1434.89
41701,1465.14
41702,1460.45
41703,1464.58
41704,1462.53
41705,1460.61
41708,1407.07
41709,1395.81
41710,1399.27
41711,1436.86
41712,1434.02
41715,1477.42
41716,1485.64
41717,1466.22
41718,1417.66
41719,1419.84
41722,1397.29
41723,1394.82
41724,1417.61
41725,1367.96
41726,1330.5
41729,1327.8
41730,1355.05
41731,1327.98
41732,1326.18
41733,1346.74
41737,1351.18
41738,1370.46
41739,1381.14
41740,1363.9
41743,1372.73
41744,1369.89
41745,1359.3
41746,1367.59
41747,1377.42
41750,1363.85
41751,1336.19
41752,1326.44
41753,1319.51
41754,1291.9
41757,1257.26
41758,1266.54
41759,1283.21
41764,1302.15
41765,1316.86
41766,1290.03
41767,1279.84
41768,1258.58
41771,1278.28
41772,1276.24
41773,1278.66
41774,1253.88
41775,1226.47
41778,1228.37
41779,1244.65
41780,1257.8
41781,1269.51
41782,1296
41785,1320.76
41786,1306.28
41787,1338.97
41788,1314.21
41789,1318.13
41793,1319.63
41794,1321.72
41795,1355.48
41796,1350.45
41799,1326.68
41800,1353.87
41801,1367.39
41802,1363.74
41803,1382.73
41806,1395.61
41807,1377.43
41808,1363.99
41809,1320.66
41810,1333.98
41813,1361.28
41814,1369.44
41815,1358.71
41816,1386.27
41817,1388.82
41820,1404.71
41821,1411.74
41822,1419.94
41823,1422.6
41824,1411.64
41827,1393.89
41828,1410.73
41829,1384.58
41830,1363.88
41831,1359.34
41834,1367.07
41835,1341.27
41836,1318.62
41837,1312.81
41838,1305.92
41841,1306.97
41842,1329.35
41843,1293.09
41844,1271.88
41845,1285.77
41848,1314.53
41849,1331.76
41850,1342.74
41851,1344.54
41852,1325.94
41855,1329.82
41856,1360.69
41857,1365.74
41858,1362.03
41859,1377.45
41862,1397.78
