date,value1
42306,22819.94
42307,22640.04
42310,22370.04
42311,22568.43
42312,23053.57
42313,23051.04
42314,22867.33
42317,22726.77
42318,22401.7
42319,22352.17
42320,22888.92
42321,22396.14
42324,22010.82
42325,22264.25
42326,22188.26
42327,22500.22
42328,22754.72
42331,22665.9
42332,22587.63
42333,22498
42334,22488.94
42335,22068.32
42338,21996.42
42339,22381.35
42340,22479.69
42341,22417.01
42342,22235.89
42345,22203.22
42346,21905.13
42347,21803.76
42348,21704.61
42349,21464.05
42352,21309.85
42353,21274.37
42354,21701.21
42355,21872.06
42356,21755.56
42359,21791.68
42360,21830.02
42361,22040.59
42362,22140.47
42366,21919.62
42367,21999.62
42368,21882.15
42369,21914.4
42373,21327.12
42374,21188.72
42375,20980.81
42376,20333.34
42377,20453.71
42380,19888.5
42381,19711.76
42382,19934.88
42383,19817.41
42384,19520.77
42387,19237.45
42388,19635.81
42389,18886.3
42390,18542.15
42391,19080.51
42394,19340.14
42395,18860.8
42396,19052.45
42397,19195.83
42398,19683.11
42401,19595.5
42402,19446.84
42403,18991.59
42404,19183.09
42405,19288.17
42411,18545.8
42412,18319.58
42415,18918.14
42416,19122.08
42417,18924.57
42418,19363.08
42419,19285.5
42422,19464.09
42423,19414.78
42424,19192.45
42425,18888.75
42426,19364.15
42429,19111.93
42430,19407.46
42431,20003.49
42432,19941.76
42433,20176.7
42436,20159.72
42437,20011.58
42438,19996.26
42439,19984.42
42440,20199.6
42443,20435.34
42444,20288.77
42445,20257.7
42446,20503.81
42447,20671.63
42450,20684.15
42451,20666.75
42452,20615.23
42453,20345.61
42458,20366.3
42459,20803.39
42460,20776.7
42461,20498.92
42465,20177
42466,20206.67
42467,20266.05
42468,20370.4
42471,20440.81
42472,20504.44
42473,21158.71
42474,21337.81
42475,21316.47
42478,21161.5
42479,21436.21
42480,21236.31
42481,21622.25
42482,21467.04
42485,21304.44
42486,21407.27
42487,21361.6
42488,21388.03
42489,21067.05
42493,20676.94
42494,20525.83
42495,20449.82
42496,20109.87
42499,20156.81
42500,20242.68
42501,20055.29
42502,19915.46
42503,19719.29
42506,19883.95
42507,20118.8
42508,19826.41
42509,19694.33
42510,19852.2
42513,19809.03
42514,19830.43
42515,20368.05
42516,20397.11
42517,20576.77
42520,20629.39
42521,20815.09
42522,20760.98
42523,20859.22
42524,20947.24
42527,21030.22
42528,21328.24
42529,21297.88
42531,21042.64
42534,20512.99
42535,20387.53
42536,20467.52
